count_consonant,count_tone,count_vowel,date,description,id,internetarchive_url,jsondata,language_pk,markup_description,name,pk,source,source_url
26,0,10,,,1483,,{},1220,,Aari (GM 1483),1483,,
9,0,5,,,1160,,{},940,,Abau (PH 1160),1160,,
21,0,18,,,649,,{},484,,abidji (AA 649),649,,https://archive.org/details/rosettaproject_abi_ortho-1
21,2,15,,,1526,,{},484,,Abidji (GM 1526),1526,,
13,,10,,,1914,,{},219,,Abipon (SAPHON 1914),1914,,http://linguistics.berkeley.edu/~saphon/en/inv/Abipon.html
15,,5,,,235,,{},219,,ABIPON (UPSID 235),235,,http://web.phonetik.uni-frankfurt.de/L/L6815.html
59,0,3,,,2468,,{},1815,,Abkhaz (Abzhywa) (EA 2468),2468,,http://eurphon.info/languages/html?lang_id=404
67,0,3,,,2552,,{},1815,,Abkhaz (Bzyb) (EA 2552),2552,,http://eurphon.info/languages/html?lang_id=63
27,3,10,,,1297,,{},1055,,Abua (GM 1297),1297,,
22,0,17,,,1701,,{},1382,,Abujmaria (RA 1701),1701,,
17,0,7,,,1159,,{},939,,Abulas (PH 1159),1159,,
20,4,14,,,1521,,{},1249,,Abure (GM 1521),1521,,
21,0,34,,,1093,,{},879,,Acehnese (PH 1093),1093,,
19,,10,,,1803,,{},1453,,Achagua (SAPHON 1803),1803,,http://linguistics.berkeley.edu/~saphon/en/inv/Achagua.html
36,0,23,,,2548,,{},1850,,Achang (Lianghe) (EA 2548),2548,,http://eurphon.info/languages/html?lang_id=8
22,,12,,,2068,,{},297,,Aché (SAPHON 2068),2068,,http://linguistics.berkeley.edu/~saphon/en/inv/Ache.html
11,,10,,,348,,{},297,,ACHE (UPSID 348),348,,http://web.phonetik.uni-frankfurt.de/L/L6866.html
17,3,9,,,1433,,{},1177,,Acholi (GM 1433),1433,,
15,,12,,,1946,,{},1538,,Achuar-Shiwiar (SAPHON 1946),1946,,http://linguistics.berkeley.edu/~saphon/en/inv/Achuar.html
