count_inventories,description,family_pk,id,jsondata,latitude,longitude,macroarea,markup_description,name,pk
1,,10,aari1239,"{""color"": ""#807433""}",5.95034,36.5721,Africa,,Aari,1220
1,,79,abau1245,"{""color"": ""#A6CC51""}",-3.97222,141.324,Papunesia,,Abau,940
2,,6,abid1235,"{""color"": ""#CC5151""}",5.65656,-4.58421,Africa,,Abidji,484
2,,18,abip1241,"{""color"": ""#51CCB5""}",-29,-61,South America,,Abipon,219
2,,71,abkh1244,"{""color"": ""#83CC51""}",43.056218,41.159115,Eurasia,,Abkhazian,1815
1,,6,abua1244,"{""color"": ""#CC5151""}",4.83057,6.61492,Africa,,Abua,1055
1,,8,abuj1237,"{""color"": ""#338046""}",,,Eurasia,,Abujmaria,1382
1,,6,abur1243,"{""color"": ""#CC5151""}",5.21534,-3.64123,Africa,,Abure,1249
1,,47,acat1239,"{""color"": ""#338063""}",17.1034,-99.0602,North America,,Acatepec Me'phaa,441
1,,36,acha1250,"{""color"": ""#806C33""}",4.38649,-72.2005,South America,,Achagua,1453
2,,1,ache1246,"{""color"": ""#593380""}",-25.5865,-56.4697,South America,,Aché,297
1,,35,ache1245,"{""color"": ""#338071""}",10.8827,30.3187,Africa,,Acheron,1172
1,,3,achi1257,"{""color"": ""#338080""}",3.90757,96.6032,Eurasia,,Achinese,879
1,,45,achu1248,"{""color"": ""#A651CC""}",-2.82646,-77.2641,South America,,Achuar-Shiwiar,1538
1,,168,achu1247,"{""color"": ""#5BCC51""}",41.0979,-121.191,North America,,Achumawi,199
1,,58,acol1236,"{""color"": ""#CC51AE""}",3.57738,32.5147,Africa,,Acoli,1177
4,,6,adam1253,"{""color"": ""#CC5151""}",8.140326,13.077338,Africa,,Adamawa Fulfulde,529
1,,107,adan1251,"{""color"": ""#334D80""}",-8.18958,124.448,Papunesia,,Adang,876
1,,6,adan1247,"{""color"": ""#CC5151""}",5.9437,0.13243,Africa,,Adangme,516
2,,6,adio1239,"{""color"": ""#CC5151""}",5.38228,-4.52522,Africa,,Adioukrou,485
1,,4,adny1235,"{""color"": ""#803333""}",-30.1451,138.671,Australia,,Adnyamathanha,2114
1,,71,adyg1241,"{""color"": ""#83CC51""}",44,39.33,Eurasia,,Adyghe,1764
2,,3,adze1240,"{""color"": ""#338080""}",-6.39394,146.294,Papunesia,,Adzera,41
1,,,abis1238,"{""color"": ""#8F51CC""}",-1.284096,-75.084405,South America,,Aewa,1527
1,,22,afad1236,"{""color"": ""#8FCC51""}",12.0551,14.6343,Africa,,Afade,198
1,,22,afar1241,"{""color"": ""#8FCC51""}",12.2281,41.8083,Africa,,Afar,1097
1,,82,afit1238,"{""color"": ""#337880""}",12.446,30.7611,Africa,,Afitti,1053
1,,2,afri1274,"{""color"": ""#51CCCC""}",-22,30,Africa,,Afrikaans,1144
2,,6,aghe1239,"{""color"": ""#CC5151""}",6.38956,10.0807,Africa,,Aghem,203
1,,4,aghu1254,"{""color"": ""#803333""}",-13.735,142.426,Australia,,Aghu Tharnggalu,2072
1,,45,agua1253,"{""color"": ""#A651CC""}",-5.30044,-77.9218,South America,,Aguaruna,1539
1,,6,ahan1244,"{""color"": ""#CC5151""}",7.44139,6.00896,Africa,,Àhàn,1265
1,,6,ahan1243,"{""color"": ""#CC5151""}",4.85147,-1.94657,Africa,,Ahanta,1149
1,,20,ahte1237,"{""color"": ""#803350""}",61.7068,-144.889,North America,,Ahtena,205
2,,,aika1237,"{""color"": ""#8F51CC""}",-12.6695,-60.5353,South America,,Aikanã,424
2,,6,ajab1235,"{""color"": ""#CC5151""}",7.06634,1.64992,Africa,,Aja (Benin),486
1,,125,ajas1235,"{""color"": ""#8351CC""}",8.58003,25.6122,Africa,,Aja (Sudan),1018
1,,6,mbuu1238,"{""color"": ""#CC5151""}",6.53792,10.2556,Africa,,Ajumbu,1319
1,,36,ajyi1238,"{""color"": ""#806C33""}",-9.82364,-74.61947,South America,,Ajyíninka Apurucayali,1455
4,,6,akan1250,"{""color"": ""#CC5151""}",6.34756,-1.33254,Africa,,Akan,140
1,,6,akas1242,"{""color"": ""#CC5151""}",8.8858,1.37035,Africa,,Akaselem,1287
2,,17,akaw1239,"{""color"": ""#80336C""}",6.16277,-60.862,South America,,Akawaio,206
2,,15,akha1245,"{""color"": ""#598033""}",21.2309,100.964,Eurasia,,Akha,942
1,,3,akla1241,"{""color"": ""#338080""}",11.5543,122.354,Papunesia,,Aklanon,881
2,,6,akoo1248,"{""color"": ""#CC5151""}",4.9243,9.65522,Africa,,Akoose,489
1,,6,akpe1248,"{""color"": ""#CC5151""}",7.50256,5.95559,Africa,,Akpes,1256
1,,1,akun1241,"{""color"": ""#593380""}",-12.8322,-60.9716,South America,,Akuntsu,1624
1,,17,akur1238,"{""color"": ""#80336C""}",3.19607,-55.6294,South America,,Akurio,1491
1,,22,alab1254,"{""color"": ""#8FCC51""}",7.39014,38.1732,Africa,,Alaba-K'abeena,1194
2,,112,alab1237,"{""color"": ""#CC5D51""}",30.76738,-94.62848,North America,,Alabama,79
1,,79,alam1246,"{""color"": ""#A6CC51""}",-4.66307,143.316,Papunesia,,Alamblak,211
3,,66,alaw1244,"{""color"": ""#80337B""}",-15.5458,134.282,Australia,,Alawa,50
2,,73,aleu1260,"{""color"": ""#335480""}",52.1228,-174.29,North America,,Aleut,61
2,,6,alla1248,"{""color"": ""#CC5151""}",5.22371,-4.42647,Africa,,Alladian,208
1,,4,alng1239,"{""color"": ""#803333""}",-12.5324,141.938,Australia,,Alngith,2093
1,,94,alut1245,"{""color"": ""#80335E""}",60.3844,165.653,Eurasia,,Alutor,1792
2,,4,alya1239,"{""color"": ""#803333""}",-21.0427,136.835,Australia,,Alyawarr,943
3,,25,amah1246,"{""color"": ""#CC8051""}",-10.2012,-72.3208,South America,,Amahuaca,120
1,,90,aman1265,"{""color"": ""#6CCC51""}",-3.51516,141.178,Papunesia,,Amanab,944
1,,126,amar1274,"{""color"": ""#805A33""}",-12.4931,-70.5533,South America,,Amarakaeri,1525
1,,82,amas1236,"{""color"": ""#337880""}",12.0993,29.4332,Africa,,Ama (Sudan),389
1,,6,ambe1247,"{""color"": ""#CC5151""}",5.94043,9.62028,Africa,,Ambele,877
1,,3,ambo1250,"{""color"": ""#338080""}",-3.71342,128.184,Papunesia,,Ambonese Malay,1366
1,,152,ambu1247,"{""color"": ""#51CC65""}",-3.7801,143.059,Papunesia,,Ambulas,939
3,,15,amdo1237,"{""color"": ""#598033""}",34.5177,100.485,Eurasia,,Amdo Tibetan,1842
1,,29,amel1241,"{""color"": ""#334680""}",-5.29126,145.687,Papunesia,,Amele,201
3,,22,amha1245,"{""color"": ""#8FCC51""}",11.708182,39.543456,Africa,,Amharic,131
1,,93,amii1238,"{""color"": ""#338038""}",-13.5573,130.04,Australia,,Ami,1887
1,,6,amoo1242,"{""color"": ""#CC5151""}",10.3229,8.65405,Africa,,Amo,210
1,,1,amun1246,"{""color"": ""#593380""}",-9.04023,-62.3064,South America,,Amundava,1625
1,,76,amar1271,"{""color"": ""#5159CC""}",-11.9876,132.878,Australia,,Amurdak,1906
1,,4,ande1247,"{""color"": ""#803333""}",-22.51278,137.3515,Australia,,Andegerebinha,1940
1,,54,andi1255,"{""color"": ""#6151CC""}",42.8078,46.2919,Eurasia,,Andi,1814
1,,124,ando1255,"{""color"": ""#CC7451""}",-3.29664,-76.6056,South America,,Andoa,1677
2,,,ando1256,"{""color"": ""#8F51CC""}",-0.53751,-72.0869,South America,,Andoque,213
1,,3,anei1239,"{""color"": ""#338080""}",-20.1864,169.825,Papunesia,,Aneityum,1004
1,,88,anfi1235,"{""color"": ""#804133""}",8.568,34.647,Africa,,Anfillo,1350
1,,5,anga1290,"{""color"": ""#803374""}",-7.15012,146.352,Papunesia,,Angaataha,202
1,,15,anga1288,"{""color"": ""#598033""}",25.6841,93.8668,Eurasia,,Angami Naga,1383
1,,4,angg1238,"{""color"": ""#803333""}",-11.443,142.242,Australia,,Angkamuthi,2103
1,,2,ango1258,"{""color"": ""#51CCCC""}",0.11438,6.59486,Africa,,Angolar,1272
1,,4,angu1242,"{""color"": ""#803333""}",-12.395,141.755,Australia,,Anguthimri,2075
1,,6,anii1245,"{""color"": ""#CC5151""}",9.11127,1.60169,Africa,,Anii,1347
1,,14,anin1240,"{""color"": ""#336380""}",-13.99904,136.6415,Australia,,Anindilyakwa,1895
3,,4,anta1253,"{""color"": ""#803333""}",-27.1152,134.838,Australia,,Antakarinya,44
1,,2,anti1245,"{""color"": ""#51CCCC""}",17.068263,-61.821863,North America,,Antigua and Barbuda Creole English,880
1,,58,anua1242,"{""color"": ""#CC51AE""}",7.57714,34.0267,Africa,,Anuak,945
2,,6,anuf1239,"{""color"": ""#CC5151""}",10.2839,0.56021,Africa,,Anufo,490
3,,6,anyi1245,"{""color"": ""#CC5151""}",6.31781,-3.30532,Africa,,Anyin,1014
2,,6,anyi1244,"{""color"": ""#CC5151""}",6.1627,-4.64232,Africa,,Anyin Morofo,487
2,,15,aona1235,"{""color"": ""#598033""}",26.3241,94.3824,Eurasia,,Ao Naga,386
1,,17,apal1257,"{""color"": ""#80336C""}",1.49792,-54.7457,South America,,Apalaí,1492
1,,15,apat1240,"{""color"": ""#598033""}",27.1933,93.7284,Eurasia,,Apatani,1384
1,,1,apia1248,"{""color"": ""#593380""}",-7.84711,-57.91,South America,,Apiaká,1626
3,,41,apin1244,"{""color"": ""#61CC51""}",-6.10774,-47.6315,South America,,Apinayé,122
1,,6,apro1235,"{""color"": ""#CC5151""}",5.20273,-4.52192,Africa,,Aproumu Aizi,204
2,,166,apuc1241,"{""color"": ""#67CC51""}",12.241,92.7965,Eurasia,,A-Pucikwar,214
2,,36,apur1254,"{""color"": ""#806C33""}",-8.21692,-66.7714,South America,,Apurinã,878
1,,4,arab1267,"{""color"": ""#803333""}",-28.705,135.449,Australia,,Arabana,1986
2,,124,arab1268,"{""color"": ""#CC7451""}",-1.96126,-75.0612,South America,,Arabela,216
2,,2,arag1245,"{""color"": ""#51CCCC""}",42.4669,-0.00919,Eurasia,,Aragonese,843
1,,117,aran1237,"{""color"": ""#CC8551""}",-2.08016,132.983,Papunesia,,Arandai,946
1,,25,arao1248,"{""color"": ""#CC8051""}",-12.4242,-67.7293,South America,,Araona,1609
1,,1,araw1273,"{""color"": ""#593380""}",-4.90246,-52.5001,South America,,Araweté,1627
2,,2,arbe1236,"{""color"": ""#51CCCC""}",38.911,16.7164,Eurasia,,Arbëreshë Albanian,1800
1,,22,arbo1245,"{""color"": ""#8FCC51""}",4.92183,36.7986,Africa,,Arbore,1252
1,,54,arch1244,"{""color"": ""#6151CC""}",42.3239,46.8267,Eurasia,,Archi,215
1,,22,argo1244,"{""color"": ""#8FCC51""}",10.6596,39.756,Africa,,Argobba,1145
2,,75,arhu1242,"{""color"": ""#CC5180""}",10.7018,-73.6363,South America,,Arhuaco,882
1,,41,arik1265,"{""color"": ""#61CC51""}",-12.4878,-62.7261,South America,,Arikapú,1543
1,,50,arin1244,"{""color"": ""#BDCC51""}",3.56143,31.3071,Africa,,Aringa,1169
1,,4,arit1239,"{""color"": ""#803333""}",-12.50839255,142.138748,Australia,,Aritinngitigh,2094
3,,36,asha1243,"{""color"": ""#806C33""}",-11.9311,-73.9073,South America,,Asháninka,110
1,,6,ashe1269,"{""color"": ""#CC5151""}",9.36574,7.39443,Africa,,Ashe,1254
1,,36,ashe1272,"{""color"": ""#806C33""}",-10.9777,-74.9153,South America,,Ashéninka Perené,1456
3,,2,assa1263,"{""color"": ""#51CCCC""}",26.0876,91.2932,Eurasia,,Assamese,1385
2,,2,astu1245,"{""color"": ""#51CCCC""}",42.4181,-6.02227,Eurasia,,Asturian-Leonese-Cantabrian,1836
2,,4,atam1239,"{""color"": ""#803333""}",-11.0018,142.273,Australia,,Atampaya,2102
3,,3,atay1247,"{""color"": ""#338080""}",24.5209,121.388,Papunesia,,Atayal,30
1,,6,atti1239,"{""color"": ""#CC5151""}",5.9977,-3.8209,Africa,,Attié,1271
1,,13,auuu1241,"{""color"": ""#688033""}",-3.53277,142.105,Papunesia,,Au,949
1,,1,avac1239,"{""color"": ""#593380""}",-13.6081,-48.1336,South America,,Avá-Canoeiro,1630
2,,54,avar1256,"{""color"": ""#6151CC""}",41.7047,46.558,Eurasia,,Avar,218
1,,6,avat1244,"{""color"": ""#CC5151""}",6.8688,0.41314,Africa,,Avatime,1054
1,,6,avik1243,"{""color"": ""#CC5151""}",5.15838,-5.2529,Africa,,Avikam,1108
1,,50,avok1242,"{""color"": ""#BDCC51""}",4.38639,29.9379,Africa,,Avokaya,492
1,,4,awab1243,"{""color"": ""#803333""}",-33.12847,151.43555,Australia,,Awabakal,2160
2,,51,awac1239,"{""color"": ""#683380""}",1.21652,-78.3401,South America,,Awa-Cuaiquer,903
1,,2,awad1243,"{""color"": ""#51CCCC""}",27.5907,82.4663,Eurasia,,Awadhi,1386
1,,29,awar1248,"{""color"": ""#334680""}",-6.16986,146.372,Papunesia,,Awara,955
1,,1,awet1244,"{""color"": ""#593380""}",-12.381944,-53.391944,South America,,Awetí,1631
1,,6,awin1248,"{""color"": ""#CC5151""}",5.88362,10.264,Africa,,Awing,956
1,,29,awiy1238,"{""color"": ""#334680""}",-6.54079,145.76,Papunesia,,Awiyaana,57
3,,22,awng1244,"{""color"": ""#8FCC51""}",10.9819,36.6916,Africa,,Awngi,128
1,,79,awtu1239,"{""color"": ""#A6CC51""}",-3.53129,141.928,Papunesia,,Awtuw,957
1,,15,axiy1235,"{""color"": ""#598033""}",24.6009,103.713,Eurasia,,Axi Yi,1851
1,,62,ayac1239,"{""color"": ""#805033""}",-13.84714,-74.32246,South America,,Ayacucho Quechua,1600
1,,6,ayer1245,"{""color"": ""#CC5151""}",7.52206,6.01979,Africa,,Ayere,1266
1,,4,ayer1246,"{""color"": ""#803333""}",,,Australia,,Ayerrerenge,1942
1,,121,ayor1240,"{""color"": ""#443380""}",-19.220055,-60.217495,South America,,Ayoreo,1676
1,,6,baan1242,"{""color"": ""#CC5151""}",10.8083,5.7261,Africa,,Baangi,551
2,,6,baat1238,"{""color"": ""#CC5151""}",9.63186,2.99607,Africa,,Baatonum,222
1,,6,baba1264,"{""color"": ""#CC5151""}",6.11222,10.5216,Africa,,Baba,958
1,,6,baba1266,"{""color"": ""#CC5151""}",5.97863,10.2869,Africa,,Babanki,959
1,,8,bada1257,"{""color"": ""#338046""}",11.3094,76.5974,Eurasia,,Badaga,1387
1,,22,bade1248,"{""color"": ""#8FCC51""}",12.789,10.6557,Africa,,Bade,1181
1,,4,badi1246,"{""color"": ""#803333""}",-29.0647,117.246,Australia,,Badimaya,1993
1,,6,bafa1249,"{""color"": ""#CC5151""}",5.84612,10.4518,Africa,,Bafanji,1345
1,,6,bafa1247,"{""color"": ""#CC5151""}",4.53307,9.522,Africa,,Bafaw-Balong,716
2,,6,bafi1243,"{""color"": ""#CC5151""}",4.72603,11.0982,Africa,,Bafia,1023
1,,6,bafu1246,"{""color"": ""#CC5151""}",6.14153,10.1194,Africa,,Bafut,494
1,,6,baga1273,"{""color"": ""#CC5151""}",10.1286,-13.947,Africa,,Baga Koga,848
1,,6,baga1272,"{""color"": ""#CC5151""}",10.4793,-14.4756,Africa,,Baga Sitemu,979
1,,50,bagi1246,"{""color"": ""#BDCC51""}",11.52392,14.769495,Africa,,Bagirmi,1207
1,,15,baim1244,"{""color"": ""#598033""}",33.1001,103.952,Eurasia,,Baima,1763
2,,6,baka1272,"{""color"": ""#CC5151""}",2.16013,13.7804,Africa,,Baka (Cameroon),495
3,,17,baka1277,"{""color"": ""#80336C""}",-14.2628,-54.7034,South America,,Bakairí,233
3,,6,baka1273,"{""color"": ""#CC5151""}",4.79991,9.80402,Africa,,Bakaka,1275
1,,50,baka1274,"{""color"": ""#BDCC51""}",4.65943,29.59,Africa,,Baka (Sudan),1017
1,,2,bakh1245,"{""color"": ""#51CCCC""}",32.0163,49.7713,Eurasia,,Bakhtiari,1720
1,,6,bako1249,"{""color"": ""#CC5151""}",3.56518,9.99905,Africa,,Bakoko,960
1,,6,bako1250,"{""color"": ""#CC5151""}",4.43654,8.97387,Africa,,Bakole,704
1,,6,bala1302,"{""color"": ""#CC5151""}",12.5382,-15.6658,Africa,,Balanta-Ganja,1141
1,,3,bali1278,"{""color"": ""#338080""}",-8.35714,115.075,Papunesia,,Balinese,1374
2,,15,balt1258,"{""color"": ""#598033""}",34.4491,77.2859,Eurasia,,Balti,1388
1,,6,bamb1265,"{""color"": ""#CC5151""}",5.861,10.544,Africa,,Bambalang,984
3,,7,bamb1269,"{""color"": ""#CCAE51""}",12.0401,-9.98949,Africa,,Bambara,221
1,,97,bamb1262,"{""color"": ""#CC6351""}",9.82554,34.6522,Africa,,Bambassi,1104
1,,6,bame1260,"{""color"": ""#CC5151""}",5.77049,10.3302,Africa,,Bamenyam,724
1,,6,bamu1253,"{""color"": ""#CC5151""}",5.49017,10.8477,Africa,,Bamun,798
1,,6,bamu1256,"{""color"": ""#CC5151""}",6.00203,10.5127,Africa,,Bamunka,962
1,,22,bana1305,"{""color"": ""#8FCC51""}",10.3535,13.6131,Africa,,Bana,1016
1,,3,band1353,"{""color"": ""#338080""}",-4.55565,129.905,Papunesia,,Banda Malay,1367
2,,6,band1345,"{""color"": ""#CC5151""}",8.03339,23.9021,Africa,,Banda-Ndélé,496
1,,7,band1352,"{""color"": ""#CCAE51""}",7.73729,-10.1684,Africa,,Bandi,497
1,,96,band1337,"{""color"": ""#CCC551""}",-30.0771,143.282,Australia,,Bandjigali,2068
1,,4,bang1339,"{""color"": ""#803333""}",-33.3036,136.079,Australia,,Banggarla,2118
1,,6,bang1356,"{""color"": ""#CC5151""}",6.0125,10.667,Africa,,Bangolan,963
1,,36,guar1293,"{""color"": ""#806C33""}",1.80835,-66.922505,South America,,Baniva de Maroa,1477
3,,36,bani1255,"{""color"": ""#806C33""}",2.17859,-67.7704,South America,,Baniwa do Icana,861
1,,6,bank1256,"{""color"": ""#CC5151""}",4.3702,9.6403,Africa,,Bankon,1250
2,,6,baou1238,"{""color"": ""#CC5151""}",5.42509,-4.76565,Africa,,Baoulé,498
4,,22,bare1279,"{""color"": ""#8FCC51""}",11.1168,18.0764,Africa,,Barain,1316
1,,23,bara1380,"{""color"": ""#3C8033""}",0.02193,-70.808,South America,,Barasana-Eduria,1612
2,,136,barb1263,"{""color"": ""#807733""}",34.462,-119.699,North America,,Barbareño,654
3,,33,bard1255,"{""color"": ""#CC6851""}",-16.6274,122.906,Australia,,Bardi,226
1,,36,bare1276,"{""color"": ""#806C33""}",1.91649,-66.828,South America,,Baré,1459
1,,75,bari1297,"{""color"": ""#CC5180""}",9.08497,-72.9353,South America,,Barí,1508
1,,3,bari1286,"{""color"": ""#338080""}",-5.5087,148.666,Papunesia,,Bariai,965
1,,4,barr1247,"{""color"": ""#803333""}",-14.1219,144.531,Australia,,Barrow Point,2079
1,,29,baru1269,"{""color"": ""#334680""}",-9.40132,148.761,Papunesia,,Baruga,828
1,,6,basa1284,"{""color"": ""#CC5151""}",3.80765,10.4213,Africa,,Basa (Cameroon),499
2,,43,bash1264,"{""color"": ""#768033""}",53.5967,56.5594,Eurasia,,Bashkir,220
7,,,basq1248,"{""color"": ""#8F51CC""}",43.2787,-1.31622,Eurasia,,Basque,179
1,,86,basq1250,"{""color"": ""#80333A""}",,,Eurasia,,"Basque, Souletin",1779
1,,6,nucl1418,"{""color"": ""#CC5151""}",7.27501,-11.543,Africa,,Bassa,500
1,,6,bass1260,"{""color"": ""#CC5151""}",5.23655,9.52275,Africa,,Bassossi,1276
1,,3,bata1293,"{""color"": ""#338080""}",2.12787,98.2517,Papunesia,,Batak Karo,1354
3,,3,bata1289,"{""color"": ""#338080""}",2.35498,99.1761,Papunesia,,Batak Toba,33
1,,6,bata1285,"{""color"": ""#CC5151""}",1.397041,9.51011,Africa,,Batanga,964
2,,54,bats1242,"{""color"": ""#6151CC""}",42.1806,45.344,Eurasia,,Bats,223
1,,36,baur1253,"{""color"": ""#806C33""}",-13.1278,-64.1838,South America,,Baure,1482
1,,4,bayu1240,"{""color"": ""#803333""}",-23.3809,114.108,Australia,,Bayungu,1969
2,,6,beem1239,"{""color"": ""#CC5151""}",-3.95895,14.1,Africa,,Beembe,144
1,,6,befa1241,"{""color"": ""#CC5151""}",6.27562,10.0342,Africa,,Befang,966
1,,22,beja1238,"{""color"": ""#8FCC51""}",17.2436,36.6666,Africa,,Beja,230
1,,6,bekw1241,"{""color"": ""#CC5151""}",6.73737,8.86489,Africa,,Bekwarra,503
1,,58,bela1256,"{""color"": ""#CC51AE""}",6.6503,27.8232,Africa,,Belanda Bor,1178
1,,6,bela1255,"{""color"": ""#CC5151""}",7.41311,27.6956,Africa,,Belanda Viri,1179
1,,15,belh1239,"{""color"": ""#598033""}",26.9972,87.2783,Eurasia,,Belhariya,1712
1,,2,beli1260,"{""color"": ""#51CCCC""}",17.3941,-88.6281,North America,,Belize Kriol English,889
1,,40,bell1243,"{""color"": ""#763380""}",52.3448,-126.689,North America,,Bella Coola,234
1,,6,bemb1257,"{""color"": ""#CC5151""}",-10.6122,29.2993,Africa,,Bemba (Zambia),968
1,,6,bena1262,"{""color"": ""#CC5151""}",-9.26671,35.0364,Africa,,Bena (Tanzania),1243
2,,88,benc1235,"{""color"": ""#804133""}",7.04682,35.7673,Africa,,Bench,1215
1,,7,beng1286,"{""color"": ""#CCAE51""}",7.78122,-4.23539,Africa,,Beng,504
5,,2,beng1280,"{""color"": ""#51CCCC""}",24,90,Eurasia,,Bengali,177
1,,2,berb1259,"{""color"": ""#51CCCC""}",5.3829,-58.0002,South America,,Berbice Creole Dutch,969
