description,equivalence_class,frequency,id,in_inventories,jsondata,markup_description,name,pk,segment_class,total_inventories
LATIN SMALL LETTER M,m,0.915488532830663,5AE9663626770D1D4B97AAE5769AB83C,2914,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Bilabial_nasal""}",,m,17,consonant,3020
LATIN SMALL LETTER I,i,0.873075714734527,F0585BB57111C322D6E7DABB0D01F9EA,2779,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Close_front_unrounded_vowel""}",,i,10,vowel,3020
LATIN SMALL LETTER K,k,0.857681432610745,5A838FF4DABE1950734CFAFAB9383903,2730,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_velar_stop""}",,k,13,consonant,3020
LATIN SMALL LETTER J,j,0.853283066289664,ADF56B8E4119266843033E723A149AE2,2716,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Palatal_approximant""}",,j,12,consonant,3020
LATIN SMALL LETTER U,u,0.83129123468426,58EB693AE523323410326D60806B9ADF,2646,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Close_back_rounded_vowel""}",,u,34,vowel,3020
LATIN SMALL LETTER A,a,0.816839459629281,72FB536ACFF408163656BBCDAFCAC6F6,2600,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Open_front_unrounded_vowel""}",,a,1,vowel,3020
LATIN SMALL LETTER P,p,0.814954445491675,2D6FB64B3CDC3549EF11DB98A66A9EAD,2594,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_bilabial_stop""}",,p,23,consonant,3020
LATIN SMALL LETTER W,w,0.780081683945963,501394D0E2658752D9DA624E7DEBE14B,2483,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_labial%E2%80%93velar_approximant""}",,w,38,consonant,3020
LATIN SMALL LETTER N,n,0.737983034872762,E03DA215BAB0A158BA5D1CB5C4D5D6FD,2349,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Alveolar_nasal""}",,n,18,consonant,3020
LATIN SMALL LETTER T,t,0.648444863336475,9F90F95459807624A486F03FE5A89978,2064,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Template_talk:Internet_dialects""}",,t,28,consonant,3020
LATIN SMALL LETTER L,l,0.642161482877788,03413638BD1DFC7AEF53192FEF71F017,2044,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Alveolar_lateral_approximant""}",,l,16,consonant,3020
